"Assay"	"Sample Characteristic[organism]"	"Sample Characteristic Ontology Term[organism]"	"Sample Characteristic[individual]"	"Sample Characteristic Ontology Term[individual]"	"Sample Characteristic[age]"	"Sample Characteristic Ontology Term[age]"	"Sample Characteristic[developmental stage]"	"Sample Characteristic Ontology Term[developmental stage]"	"Sample Characteristic[sex]"	"Sample Characteristic Ontology Term[sex]"	"Sample Characteristic[organism part]"	"Sample Characteristic Ontology Term[organism part]"	"Sample Characteristic[progenitor cell type]"	"Sample Characteristic Ontology Term[progenitor cell type]"	"Sample Characteristic[cell type]"	"Sample Characteristic Ontology Term[cell type]"	"Sample Characteristic[cell line]"	"Sample Characteristic Ontology Term[cell line]"	"Sample Characteristic[sampling site]"	"Sample Characteristic Ontology Term[sampling site]"	"Sample Characteristic[growth condition]"	"Sample Characteristic Ontology Term[growth condition]"	"Sample Characteristic[disease]"	"Sample Characteristic Ontology Term[disease]"	"Factor Value[single cell identifier]"	"Factor Value Ontology Term[single cell identifier]"	"Factor Value[time]"	"Factor Value Ontology Term[time]"	"Factor Value[individual]"	"Factor Value Ontology Term[individual]"	"Factor Value[cell type]"	"Factor Value Ontology Term[cell type]"	"Factor Value[cell line]"	"Factor Value Ontology Term[cell line]"	"Factor Value[sampling site]"	"Factor Value Ontology Term[sampling site]"
"SRR2967656"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"fetal human cortex 1"		"gestational week 12 week"		"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"not available"		"neocortex"	"http://purl.obolibrary.org/obo/UBERON_0001950"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"in vivo"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"fetal1_E8_fetal_12wpc_c1"		"not applicable"		"fetal human cortex 1"		"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"
"SRR2967657"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"fetal human cortex 1"		"gestational week 12 week"		"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"not available"		"neocortex"	"http://purl.obolibrary.org/obo/UBERON_0001950"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"in vivo"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"fetal1_E9_fetal_12wpc_c1"		"not applicable"		"fetal human cortex 1"		"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"
"SRR2967658"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"fetal human cortex 1"		"gestational week 12 week"		"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"not available"		"neocortex"	"http://purl.obolibrary.org/obo/UBERON_0001950"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"in vivo"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"fetal1_F10_fetal_12wpc_c1"		"not applicable"		"fetal human cortex 1"		"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"
"SRR2967659"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"fetal human cortex 1"		"gestational week 12 week"		"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"not available"		"neocortex"	"http://purl.obolibrary.org/obo/UBERON_0001950"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"in vivo"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"fetal1_F11_fetal_12wpc_c1"		"not applicable"		"fetal human cortex 1"		"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"
"SRR2967660"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"fetal human cortex 1"		"gestational week 12 week"		"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"not available"		"neocortex"	"http://purl.obolibrary.org/obo/UBERON_0001950"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"in vivo"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"fetal1_F12_fetal_12wpc_c1"		"not applicable"		"fetal human cortex 1"		"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"
"SRR2967661"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"fetal human cortex 1"		"gestational week 12 week"		"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"not available"		"neocortex"	"http://purl.obolibrary.org/obo/UBERON_0001950"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"in vivo"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"fetal1_F1_fetal_12wpc_c1"		"not applicable"		"fetal human cortex 1"		"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"
"SRR2967662"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"fetal human cortex 1"		"gestational week 12 week"		"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"not available"		"neocortex"	"http://purl.obolibrary.org/obo/UBERON_0001950"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"in vivo"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"fetal1_F2_fetal_12wpc_c1"		"not applicable"		"fetal human cortex 1"		"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"
"SRR2967663"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"fetal human cortex 1"		"gestational week 12 week"		"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"not available"		"neocortex"	"http://purl.obolibrary.org/obo/UBERON_0001950"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"in vivo"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"fetal1_F3_fetal_12wpc_c1"		"not applicable"		"fetal human cortex 1"		"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"
"SRR2967664"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"fetal human cortex 1"		"gestational week 12 week"		"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"not available"		"neocortex"	"http://purl.obolibrary.org/obo/UBERON_0001950"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"in vivo"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"fetal1_F4_fetal_12wpc_c1"		"not applicable"		"fetal human cortex 1"		"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"
"SRR2967665"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"fetal human cortex 1"		"gestational week 12 week"		"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"not available"		"neocortex"	"http://purl.obolibrary.org/obo/UBERON_0001950"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"in vivo"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"fetal1_F7_fetal_12wpc_c1"		"not applicable"		"fetal human cortex 1"		"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"
"SRR2967666"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"fetal human cortex 1"		"gestational week 12 week"		"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"not available"		"neocortex"	"http://purl.obolibrary.org/obo/UBERON_0001950"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"in vivo"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"fetal1_F8_fetal_12wpc_c1"		"not applicable"		"fetal human cortex 1"		"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"
"SRR2967667"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"fetal human cortex 1"		"gestational week 12 week"		"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"not available"		"neocortex"	"http://purl.obolibrary.org/obo/UBERON_0001950"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"in vivo"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"fetal1_F9_fetal_12wpc_c1"		"not applicable"		"fetal human cortex 1"		"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"
"SRR2967668"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"fetal human cortex 1"		"gestational week 12 week"		"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"not available"		"neocortex"	"http://purl.obolibrary.org/obo/UBERON_0001950"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"in vivo"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"fetal1_G10_fetal_12wpc_c1"		"not applicable"		"fetal human cortex 1"		"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"
"SRR2967669"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"fetal human cortex 1"		"gestational week 12 week"		"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"not available"		"neocortex"	"http://purl.obolibrary.org/obo/UBERON_0001950"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"in vivo"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"fetal1_G11_fetal_12wpc_c1"		"not applicable"		"fetal human cortex 1"		"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"
"SRR2967670"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"fetal human cortex 1"		"gestational week 12 week"		"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"not available"		"neocortex"	"http://purl.obolibrary.org/obo/UBERON_0001950"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"in vivo"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"fetal1_G12_fetal_12wpc_c1"		"not applicable"		"fetal human cortex 1"		"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"
"SRR2967671"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"fetal human cortex 1"		"gestational week 12 week"		"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"not available"		"neocortex"	"http://purl.obolibrary.org/obo/UBERON_0001950"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"in vivo"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"fetal1_G1_fetal_12wpc_c1"		"not applicable"		"fetal human cortex 1"		"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"
"SRR2967672"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"fetal human cortex 1"		"gestational week 12 week"		"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"not available"		"neocortex"	"http://purl.obolibrary.org/obo/UBERON_0001950"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"in vivo"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"fetal1_G2_fetal_12wpc_c1"		"not applicable"		"fetal human cortex 1"		"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"
"SRR2967673"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"fetal human cortex 1"		"gestational week 12 week"		"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"not available"		"neocortex"	"http://purl.obolibrary.org/obo/UBERON_0001950"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"in vivo"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"fetal1_G3_fetal_12wpc_c1"		"not applicable"		"fetal human cortex 1"		"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"
"SRR2967674"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"fetal human cortex 1"		"gestational week 12 week"		"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"not available"		"neocortex"	"http://purl.obolibrary.org/obo/UBERON_0001950"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"in vivo"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"fetal1_G4_fetal_12wpc_c1"		"not applicable"		"fetal human cortex 1"		"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"
"SRR2967675"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"fetal human cortex 1"		"gestational week 12 week"		"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"not available"		"neocortex"	"http://purl.obolibrary.org/obo/UBERON_0001950"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"in vivo"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"fetal1_G5_fetal_12wpc_c1"		"not applicable"		"fetal human cortex 1"		"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"
"SRR2967676"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"fetal human cortex 1"		"gestational week 12 week"		"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"not available"		"neocortex"	"http://purl.obolibrary.org/obo/UBERON_0001950"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"in vivo"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"fetal1_G6_fetal_12wpc_c1"		"not applicable"		"fetal human cortex 1"		"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"
"SRR2967677"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"fetal human cortex 1"		"gestational week 12 week"		"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"not available"		"neocortex"	"http://purl.obolibrary.org/obo/UBERON_0001950"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"in vivo"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"fetal1_G7_fetal_12wpc_c1"		"not applicable"		"fetal human cortex 1"		"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"
"SRR2967678"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"fetal human cortex 1"		"gestational week 12 week"		"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"not available"		"neocortex"	"http://purl.obolibrary.org/obo/UBERON_0001950"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"in vivo"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"fetal1_G8_fetal_12wpc_c1"		"not applicable"		"fetal human cortex 1"		"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"
"SRR2967679"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"fetal human cortex 1"		"gestational week 12 week"		"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"not available"		"neocortex"	"http://purl.obolibrary.org/obo/UBERON_0001950"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"in vivo"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"fetal1_G9_fetal_12wpc_c1"		"not applicable"		"fetal human cortex 1"		"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"
"SRR2967680"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"fetal human cortex 1"		"gestational week 12 week"		"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"not available"		"neocortex"	"http://purl.obolibrary.org/obo/UBERON_0001950"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"in vivo"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"fetal1_H10_fetal_12wpc_c1"		"not applicable"		"fetal human cortex 1"		"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"
"SRR2967681"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"fetal human cortex 1"		"gestational week 12 week"		"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"not available"		"neocortex"	"http://purl.obolibrary.org/obo/UBERON_0001950"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"in vivo"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"fetal1_H11_fetal_12wpc_c1"		"not applicable"		"fetal human cortex 1"		"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"
"SRR2967682"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"fetal human cortex 1"		"gestational week 12 week"		"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"not available"		"neocortex"	"http://purl.obolibrary.org/obo/UBERON_0001950"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"in vivo"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"fetal1_H12_fetal_12wpc_c1"		"not applicable"		"fetal human cortex 1"		"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"
"SRR2967683"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"fetal human cortex 1"		"gestational week 12 week"		"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"not available"		"neocortex"	"http://purl.obolibrary.org/obo/UBERON_0001950"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"in vivo"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"fetal1_H2_fetal_12wpc_c1"		"not applicable"		"fetal human cortex 1"		"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"
"SRR2967684"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"fetal human cortex 1"		"gestational week 12 week"		"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"not available"		"neocortex"	"http://purl.obolibrary.org/obo/UBERON_0001950"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"in vivo"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"fetal1_H3_fetal_12wpc_c1"		"not applicable"		"fetal human cortex 1"		"neuron"	"http://purl.obolibrary.org/obo/CL_0000540"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"	"not applicable"	"http://purl.obolibrary.org/obo/NCIT_C48660"
